"sample_id","sampling_id","sampling_day","sampling_date","sample_type","tank_id","treatment","treatment_tank","nutrient_id","chlorophyll_id","abundance_id","NO2_NO3","NH4","PO4","NP","Chla","total_bact_mL"
"M_W750","M_D00",0,"2019-05-07",NA,"01","fish","F1","M_W750_N","M_W750_S","M_W750_C",1.16,0.18,0.04,33.5,0.104,530000
"M_W751","M_D00",0,"2019-05-07",NA,"01","fish","F1","M_W751_N","M_W751_S","M_W751_C",1.03,0.17,0.04,30,0.164,510000
"M_W752","M_D00",0,"2019-05-07",NA,"01","fish","F1","M_W752_N","M_W752_S","M_W752_C",1.35,0.22,0.04,39.25,0.171,560000
"M_W753","M_D00",0,"2019-05-07",NA,"02","control","C2","M_W753_N","M_W753_S","M_W753_C",1.07,0.23,0.04,32.5,0.181,380000
"M_W754","M_D00",0,"2019-05-07",NA,"02","control","C2","M_W754_N","M_W754_S","M_W754_C",1.03,0.22,0.04,31.25,0.181,320000
"M_W755","M_D00",0,"2019-05-07",NA,"02","control","C2","M_W755_N","M_W755_S","M_W755_C",1.2,0.23,0.04,35.75,0.176,340000
"M_W756","M_D00",0,"2019-05-07",NA,"04","control","C4","M_W756_N","M_W756_S","M_W756_C",1.27,0.29,0.06,26,0.1,550000
"M_W757","M_D00",0,"2019-05-07",NA,"04","control","C4","M_W757_N","M_W757_S","M_W757_C",1.09,0.27,0.06,22.66667,0.103,560000
"M_W758","M_D00",0,"2019-05-07",NA,"04","control","C4","M_W758_N","M_W758_S","M_W758_C",1.05,0.23,0.06,21.33333,0.091,580000
"M_W759","M_D00",0,"2019-05-07",NA,"06","control","C6","M_W759_N","M_W759_S","M_W759_C",1.1,0.18,0.06,21.33333,0.174,440000
"M_W760","M_D00",0,"2019-05-07",NA,"06","control","C6","M_W760_N","M_W760_S","M_W760_C",0.95,0.16,0.05,22.2,0.174,420000
"M_W761","M_D00",0,"2019-05-07",NA,"06","control","C6","M_W761_N","M_W761_S","M_W761_C",1.19,0.19,0.06,23,0.171,360000
"M_W762","M_D00",0,"2019-05-07",NA,"03","fish","F3","M_W762_N","M_W762_S","M_W762_C",0.85,0.4,0.07,17.85714,0.142,1300000
"M_W763","M_D00",0,"2019-05-07",NA,"03","fish","F3","M_W763_N","M_W763_S","M_W763_C",0.86,0.4,0.07,18,0.155,1300000
"M_W764","M_D00",0,"2019-05-07",NA,"03","fish","F3","M_W764_N","M_W764_S","M_W764_C",0.83,0.4,0.07,17.57143,0.126,1200000
"M_W765","M_D00",0,"2019-05-07",NA,"05","fish","F5","M_W765_N","M_W765_S","M_W765_C",0.92,0.47,0.04,34.75,0.121,770000
"M_W766","M_D00",0,"2019-05-07",NA,"05","fish","F5","M_W766_N","M_W766_S","M_W766_C",0.84,0.43,0.04,31.75,0.122,770000
"M_W767","M_D00",0,"2019-05-07",NA,"05","fish","F5","M_W767_N","M_W767_S","M_W767_C",0.84,0.85,0.04,42.25,0.124,670000
"M_W768","M_D00",0,"2019-05-07",NA,"07","fish","F7","M_W768_N","M_W768_S","M_W768_C",1.27,0.65,0.04,48,0.17,470000
"M_W769","M_D00",0,"2019-05-07",NA,"07","fish","F7","M_W769_N","M_W769_S",NA,0.64,0.54,0.04,29.5,0.175,NA
"M_W770","M_D00",0,"2019-05-07",NA,"07","fish","F7","M_W770_N","M_W770_S","M_W770_C",1.27,0.64,0.05,38.2,0.145,430000
"M_W831","M_D08",8,"2019-05-15",NA,"01","fish","F1","M_W831_N","M_W831_S","M_W831_C",0.74,2.44,0.04,79.5,0.493,2300000
"M_W832","M_D08",8,"2019-05-15",NA,"01","fish","F1","M_W832_N","M_W832_S","M_W832_C",0.82,2.63,0.04,86.25,0.496,2600000
"M_W833","M_D08",8,"2019-05-15",NA,"01","fish","F1","M_W833_N","M_W833_S","M_W833_C",0.7,2.56,0.04,81.5,0.507,2200000
"M_W834","M_D08",8,"2019-05-15",NA,"02","control","C2","M_W834_N","M_W834_S","M_W834_C",0.43,0.58,0.04,25.25,0.591,2100000
"M_W835","M_D08",8,"2019-05-15",NA,"02","control","C2","M_W835_N","M_W835_S","M_W835_C",0.25,0.41,0.04,16.5,0.587,2900000
"M_W836","M_D08",8,"2019-05-15",NA,"02","control","C2","M_W836_N","M_W836_S","M_W836_C",0.26,0.57,0.04,20.75,0.6,2200000
"M_W837","M_D08",8,"2019-05-15",NA,"03","fish","F3","M_W837_N","M_W837_S","M_W837_C",0.64,4.13,0.07,68.14286,1.161,7800000
"M_W838","M_D08",8,"2019-05-15",NA,"03","fish","F3","M_W838_N","M_W838_S","M_W838_C",0.61,4.41,0.04,125.5,1.141,6e+06
"M_W839","M_D08",8,"2019-05-15",NA,"03","fish","F3","M_W839_N","M_W839_S","M_W839_C",0.56,3.6,0.04,104,0.997,6e+06
"M_W840","M_D08",8,"2019-05-15",NA,"04","control","C4","M_W840_N","M_W840_S","M_W840_C",0.25,0.3,0.04,13.75,0.332,3800000
"M_W841","M_D08",8,"2019-05-15",NA,"04","control","C4","M_W841_N","M_W841_S","M_W841_C",0.27,0.44,0.04,17.75,0.364,3800000
"M_W842","M_D08",8,"2019-05-15",NA,"04","control","C4","M_W842_N","M_W842_S","M_W842_C",0.25,0.17,0.04,10.5,0.305,3600000
"M_W843","M_D08",8,"2019-05-15",NA,"05","fish","F5","M_W843_N","M_W843_S","M_W843_C",0.64,2.83,0.04,86.75,0.585,4800000
"M_W844","M_D08",8,"2019-05-15",NA,"05","fish","F5","M_W844_N","M_W844_S","M_W844_C",0.64,2.94,0.04,89.5,0.52,4800000
"M_W845","M_D08",8,"2019-05-15",NA,"05","fish","F5","M_W845_N","M_W845_S","M_W845_C",0.67,3.02,0.04,92.25,0.581,4300000
"M_W846","M_D08",8,"2019-05-15",NA,"06","control","C6","M_W846_N","M_W846_S","M_W846_C",0.26,0.64,0.04,22.5,0.475,1500000
"M_W847","M_D08",8,"2019-05-15",NA,"06","control","C6","M_W847_N","M_W847_S","M_W847_C",0.44,0.69,0.04,28.25,0.481,2e+06
"M_W848","M_D08",8,"2019-05-15",NA,"06","control","C6","M_W848_N","M_W848_S","M_W848_C",0.41,0.61,0.04,25.5,0.452,1500000
"M_W849","M_D08",8,"2019-05-15",NA,"07","fish","F7","M_W849_N","M_W849_S","M_W849_C",0.9,3.92,0.04,120.5,0.944,6900000
"M_W850","M_D08",8,"2019-05-15",NA,"07","fish","F7","M_W850_N","M_W850_S","M_W850_C",1.13,4.58,0.04,142.75,1.029,7500000
"M_W851","M_D08",8,"2019-05-15",NA,"07","fish","F7","M_W851_N","M_W851_S","M_W851_C",1.32,4.87,0.04,154.75,0.931,6800000
"M_W852","M_D08",8,"2019-05-15",NA,"08","control","C8","M_W852_N","M_W852_S","M_W852_C",0.46,0.22,0.04,17,0.501,2200000
"M_W853","M_D08",8,"2019-05-15",NA,"08","control","C8","M_W853_N","M_W853_S","M_W853_C",0.25,0.48,0.04,18.25,0.459,1800000
"M_W854","M_D08",8,"2019-05-15",NA,"08","control","C8","M_W854_N","M_W854_S","M_W854_C",0.35,0.22,0.04,14.25,0.477,2200000
